ProjectName,PLC_Name,BlockName,BlockType,Language,AttributeName,AttributeValue,InterfaceSection,InterfaceName,InterfaceDataType,InitialValue,Comment,SourceReference
P24U1_OP6020,PC-System_1,FS_OMS_RecipeManage,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_4PB_Box,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OperatorScreen,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,Sxx_StationData,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,Sxx_TaskDB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OperatorSplitScreen_DB,,DB,,,,,,,,
P24U1_OP6020,PC-System_1,FS_OperSplitScreen,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PartCount,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PromessHMI,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PromessControlUP,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PromessMoveUP,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PromessMove,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_PromessControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_SonyMG41Cntrl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_SonyProbe,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS_UnitResults,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS_OMSPalletNumber,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS_UnitClassificatn,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS_HmiScreen,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS_Runoff,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTSUpTaskStatus,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTS,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,LHTTP_FindStringInArray,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LHTTP_ExtractStringFromArray,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LHTTP_PostPut,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LStream_FindStringInByteCharArrayAdv,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_FindXmlElementValue,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LStream_XmlSerializer,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTSWS,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_QTSWS_Comm,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LMQTT_ConvertToUtf8,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LFMQTT_Client,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_IQT,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,LFStream_JsonSerializer,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_IQT_Comm,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_RFID,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_RFID_ReadChained,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_RFID_WriteChained,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Vtag_Hmi,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_Vtag,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_DS6400BarcodeScanner,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_BarcodePrintControl,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,FS_CognexDataMan,,LAD,,,,,,,,
P24U1_OP6020,PC-System_1,M_FindPartInSched,,SCL,,,,,,,,
P24U1_OP6020,PC-System_1,FS_LineModule,,LAD,,,,,,,,
